max_depth,eta,subsample,colsample_bytree,colsample_bylevel,lambdaX,gamma,ROCtest,ROCtrain-test,PRtest,PRtrain-PRtest
7.0,0.06,0.7,0.5,0.7,1.0,6.0,0.9025121951219512,0.08363338414634147,0.5373072020480392,0.35703043764102005
8.0,0.02,0.9,0.9,0.7,0.8,8.0,0.9014190687361419,0.06783702882483378,0.5541033746266988,0.2888384239086259
5.0,0.08,0.9,0.8,1.0,0.1,4.0,0.9091618625277162,0.08921583980044345,0.5726681406064585,0.40984240930022897
7.0,0.07,0.9,0.7,0.9,0.8,8.0,0.9075465631929045,0.07827030210643038,0.5587872116914645,0.32647898614565674
6.0,0.09,0.9,0.9,0.6,0.8,8.0,0.8998547671840356,0.07969463691795997,0.5582291852683585,0.29858659661328957
5.0,0.06,0.5,0.7,0.9,0.4,6.0,0.9012427937915742,0.0884481707317073,0.5535859124504567,0.35201647536293657
6.0,0.08,0.8,0.8,1.0,0.6,8.0,0.9059634146341464,0.08191830654101984,0.562804358056832,0.3324150601396383
7.0,0.04,0.5,0.5,0.6,0.2,5.0,0.8952527716186254,0.10029850332594226,0.5482664237499132,0.4025554901567253
7.0,0.03,0.9,0.6,0.8,0.6,5.0,0.9035543237250554,0.08344442904656335,0.5467675865940715,0.3737193232454866
4.0,0.07,0.6,0.7,1.0,0.6,7.0,0.8955110864745011,0.07751392738359209,0.5515253453946132,0.2705987503219701
3.0,0.03,0.8,0.6,0.9,0.2,8.0,0.8916463414634146,0.06513116685144138,0.5359716790217636,0.2162878746257565
8.0,0.03,0.4,0.7,0.9,1.0,8.0,0.8415543237250555,0.05272457039911316,0.46714769539280077,0.15865582097765474
8.0,0.05,0.8,0.6,0.7,0.7,5.0,0.9003037694013305,0.08074113082039902,0.5466477206409243,0.37623336812808506
3.0,0.04,0.5,0.5,0.8,0.5,5.0,0.8869146341463414,0.06909749168514423,0.5370485812564079,0.2268353815314027
6.0,0.02,0.9,0.8,0.8,0.3,8.0,0.9018525498891352,0.08197990576496672,0.5451883416758183,0.32332244619664696
5.0,0.04,0.6,0.5,0.8,0.9,7.0,0.8786518847006652,0.05607705099778271,0.5260455644245449,0.2132277335017817
3.0,0.03,0.5,0.5,1.0,0.4,5.0,0.8654290465631929,0.053944082594235,0.5196603761656786,0.16799072931502945
5.0,0.03,0.6,0.6,0.7,0.5,6.0,0.8977217294900222,0.07868888580931277,0.5426667812860053,0.30774601753801323
4.0,0.07,0.8,0.7,1.0,0.6,4.0,0.9046097560975609,0.0855863359201775,0.5601093916108724,0.36261411083172435
4.0,0.05,0.8,0.6,0.7,0.2,4.0,0.9007882483370289,0.09114966740576502,0.5588044794694801,0.3740591402443032
